data_provider,institutionCode,variable,counts
idigbio,"SEL, MO",has_identifiedBy,1
idigbio,"SEL, MO",has_recordedBy,1
idigbio,"SEL, MO",has_eventDate,0
idigbio,FLAS,total,171310
idigbio,FLAS,has_collectionCode,0
idigbio,FLAS,has_catalogNumber,171309
idigbio,FLAS,has_scientificName,170991
idigbio,FLAS,has_acceptedNameUsage,0
idigbio,FLAS,has_locality,63834
idigbio,FLAS,has_countryCode,164107
idigbio,FLAS,has_coordinates,74058
idigbio,FLAS,has_image,127696
idigbio,FLAS,has_dateIdentified,7853
idigbio,FLAS,has_identifiedBy,41337
idigbio,FLAS,has_recordedBy,164273
idigbio,FLAS,has_eventDate,158771
idigbio,TAWES,total,4357
idigbio,TAWES,has_collectionCode,0
idigbio,TAWES,has_catalogNumber,4357
idigbio,TAWES,has_scientificName,4357
idigbio,TAWES,has_acceptedNameUsage,0
idigbio,TAWES,has_locality,3108
idigbio,TAWES,has_countryCode,4357
idigbio,TAWES,has_coordinates,92
idigbio,TAWES,has_image,3217
idigbio,TAWES,has_dateIdentified,63
idigbio,TAWES,has_identifiedBy,63
idigbio,TAWES,has_recordedBy,4234
idigbio,TAWES,has_eventDate,3108
idigbio,F,total,918715
idigbio,F,has_collectionCode,918707
idigbio,F,has_catalogNumber,711567
idigbio,F,has_scientificName,918715
idigbio,F,has_acceptedNameUsage,0
idigbio,F,has_locality,279704
idigbio,F,has_countryCode,861908
idigbio,F,has_coordinates,742406
idigbio,F,has_image,653567
idigbio,F,has_dateIdentified,106888
idigbio,F,has_identifiedBy,157253
idigbio,F,has_recordedBy,692170
idigbio,F,has_eventDate,8
idigbio,NCZP,total,2343
idigbio,NCZP,has_collectionCode,0
idigbio,NCZP,has_catalogNumber,1451
idigbio,NCZP,has_scientificName,2343
idigbio,NCZP,has_acceptedNameUsage,0
idigbio,NCZP,has_locality,1423
idigbio,NCZP,has_countryCode,2323
idigbio,NCZP,has_coordinates,1
idigbio,NCZP,has_image,1271
idigbio,NCZP,has_dateIdentified,14
idigbio,NCZP,has_identifiedBy,14
idigbio,NCZP,has_recordedBy,2340
idigbio,NCZP,has_eventDate,2282
idigbio,MCTC,total,13798
idigbio,MCTC,has_collectionCode,0
idigbio,MCTC,has_catalogNumber,13798
idigbio,MCTC,has_scientificName,13798
idigbio,MCTC,has_acceptedNameUsage,0
idigbio,MCTC,has_locality,13086
idigbio,MCTC,has_countryCode,13101
idigbio,MCTC,has_coordinates,6658
idigbio,MCTC,has_image,13797
idigbio,MCTC,has_dateIdentified,35
idigbio,MCTC,has_identifiedBy,175
idigbio,MCTC,has_recordedBy,13677
idigbio,MCTC,has_eventDate,13187
idigbio,FARM,total,47030
idigbio,FARM,has_collectionCode,0
idigbio,FARM,has_catalogNumber,47026
idigbio,FARM,has_scientificName,47030
idigbio,FARM,has_acceptedNameUsage,0
idigbio,FARM,has_locality,9
idigbio,FARM,has_countryCode,46859
idigbio,FARM,has_coordinates,4
idigbio,FARM,has_image,39443
idigbio,FARM,has_dateIdentified,4
idigbio,FARM,has_identifiedBy,4
idigbio,FARM,has_recordedBy,9
idigbio,FARM,has_eventDate,9
idigbio,TAC,total,2096
idigbio,TAC,has_collectionCode,0
idigbio,TAC,has_catalogNumber,2096
idigbio,TAC,has_scientificName,2096
idigbio,TAC,has_acceptedNameUsage,0
idigbio,TAC,has_locality,1749
idigbio,TAC,has_countryCode,2085
idigbio,TAC,has_coordinates,385
idigbio,TAC,has_image,0
idigbio,TAC,has_dateIdentified,1913
