institutionCode,total,has_collectionCode,has_catalogNumber,has_scientificName,has_acceptedNameUsage,has_locality,has_countryCode,has_coordinates,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_speciesKey,has_higherGeography,File
KE,15242,0,14973,15242,0,15242,15221,7365,0,0,0,15241,15138,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
KESC,11861,11861,11861,11861,0,864,10123,0,11473,86,86,9786,9165,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
KHD,1,1,1,1,0,1,1,0,1,0,0,1,1,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
KIRI,19729,12556,19729,19729,0,13712,16412,8961,19540,198,242,17186,15124,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
KNK,22925,0,22925,22925,0,22555,22863,943,19092,0,4670,12244,11438,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
KSP,25104,214,18000,25104,0,24211,25076,11671,5584,1952,2938,25003,24609,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
KSTC,50877,50877,50822,50866,0,50498,48547,22569,0,0,38196,50510,50221,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
KU,384831,384831,384826,384831,0,376930,366968,278936,0,0,233492,362646,315530,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
LA,17186,17186,17186,17186,0,16187,17186,13547,0,0,0,17186,16757,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
LACM,77,77,77,77,0,77,77,76,4,48,77,77,48,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
LCDI,1395,0,1284,1395,0,1191,1395,438,0,120,261,1394,1386,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
LEDLIE,1402,0,0,1402,0,1402,1402,1,0,0,1402,1402,1395,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
LINF,3569,3569,3569,3569,3546,3514,3528,255,3479,242,199,3568,3520,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
Logan,3,3,3,3,0,0,3,0,0,0,0,0,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
LSU,168634,168634,168634,168634,0,159481,168554,57558,154322,61137,65580,168610,165116,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
LSUM,14555,14555,14555,14555,0,14209,14336,13766,14467,456,5491,14398,14338,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MACF,247,247,247,247,0,246,247,101,0,0,0,247,247,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
