institutionCode,variable,counts
TENN,has_locality,177416
TENN,has_higherGeography,0
TENN,has_countryCode,417454
TENN,has_coordinates,161361
TENN,has_image,356203
TENN,has_dateIdentified,8524
TENN,has_identifiedBy,54225
TENN,has_recordedBy,182548
TENN,has_eventDate,178098
SFV,total,16270
SFV,has_collectionCode,0
SFV,has_catalogNumber,16155
SFV,has_speciesKey,15943
SFV,has_scientificName,16270
SFV,has_acceptedNameUsage,0
SFV,has_locality,16237
SFV,has_higherGeography,0
SFV,has_countryCode,16261
SFV,has_coordinates,14233
SFV,has_image,16155
SFV,has_dateIdentified,1636
SFV,has_identifiedBy,2802
SFV,has_recordedBy,16270
SFV,has_eventDate,15960
OKL,total,123767
OKL,has_collectionCode,123767
OKL,has_catalogNumber,123767
OKL,has_speciesKey,122902
OKL,has_scientificName,123767
OKL,has_acceptedNameUsage,0
OKL,has_locality,0
OKL,has_higherGeography,0
OKL,has_countryCode,0
OKL,has_coordinates,0
OKL,has_image,0
OKL,has_dateIdentified,0
OKL,has_identifiedBy,0
OKL,has_recordedBy,0
OKL,has_eventDate,0
UMNH,total,2
UMNH,has_collectionCode,2
UMNH,has_catalogNumber,2
UMNH,has_speciesKey,1
UMNH,has_scientificName,2
UMNH,has_acceptedNameUsage,0
UMNH,has_locality,2
UMNH,has_higherGeography,0
UMNH,has_countryCode,2
UMNH,has_coordinates,2
UMNH,has_image,0
UMNH,has_dateIdentified,0
UMNH,has_identifiedBy,0
UMNH,has_recordedBy,2
UMNH,has_eventDate,2
USU,total,162323
USU,has_collectionCode,162323
USU,has_catalogNumber,162132
USU,has_speciesKey,158668
USU,has_scientificName,162323
USU,has_acceptedNameUsage,0
USU,has_locality,149734
USU,has_higherGeography,0
USU,has_countryCode,161795
USU,has_coordinates,71852
USU,has_image,82628
USU,has_dateIdentified,24300
USU,has_identifiedBy,59478
USU,has_recordedBy,157772
USU,has_eventDate,148100
USA133,total,3606
USA133,has_collectionCode,3606
USA133,has_catalogNumber,3606
USA133,has_speciesKey,3574
USA133,has_scientificName,3606
USA133,has_acceptedNameUsage,0
USA133,has_locality,122
USA133,has_higherGeography,0
USA133,has_countryCode,259
USA133,has_coordinates,119
USA133,has_image,0
USA133,has_dateIdentified,0
USA133,has_identifiedBy,0
USA133,has_recordedBy,0
USA133,has_eventDate,0
GH,total,603888
GH,has_collectionCode,603888
GH,has_catalogNumber,603888
GH,has_speciesKey,590634
GH,has_scientificName,603888
GH,has_acceptedNameUsage,0
GH,has_locality,571695
GH,has_higherGeography,592826
GH,has_countryCode,584096
GH,has_coordinates,8650
GH,has_image,522881
GH,has_dateIdentified,67724
GH,has_identifiedBy,16844
GH,has_recordedBy,600580
GH,has_eventDate,284975
USA005,total,14674
USA005,has_collectionCode,14674
USA005,has_catalogNumber,14674
USA005,has_speciesKey,14311
USA005,has_scientificName,14674
USA005,has_acceptedNameUsage,0
USA005,has_locality,241
USA005,has_higherGeography,0
USA005,has_countryCode,9499
USA005,has_coordinates,48
USA005,has_image,0
USA005,has_dateIdentified,0
USA005,has_identifiedBy,0
USA005,has_recordedBy,0
