recordset_UUID,Link,name,IN/OUT,,,
b80d24e8-17ff-4092-88d7-7e5ad11c117a,https://www.idigbio.org/portal/recordsets/b80d24e8-17ff-4092-88d7-7e5ad11c117a,"Historia natural del parque ecológico estatal  de Omiltemi, Chilpancingo, Guerrero, México",OUT,,,
e70af26a-fb9e-43ab-96a0-d62a2df37e6d,https://www.idigbio.org/portal/recordsets/e70af26a-fb9e-43ab-96a0-d62a2df37e6d,George Safford Torrey Herbarium (CONN),IN,,,
c481fbc6-4bd7-4c50-8537-ba1993d4eb88,https://www.idigbio.org/portal/recordsets/c481fbc6-4bd7-4c50-8537-ba1993d4eb88,Field Museum of Natural History (Botany) Lichen Collection,IN,,,
bfb53140-79c1-4625-81aa-3f37de7c0c2f,https://www.idigbio.org/portal/recordsets/bfb53140-79c1-4625-81aa-3f37de7c0c2f,Southern Utah University,IN,,,
21b563bc-70c2-46d5-bce8-2489db2db3d8,https://www.idigbio.org/portal/recordsets/21b563bc-70c2-46d5-bce8-2489db2db3d8,"East Tennessee State University, John C. Warden Herbarium",IN,,,
0c6fb8af-94f4-44f8-90c6-928008101b04,https://www.idigbio.org/portal/recordsets/0c6fb8af-94f4-44f8-90c6-928008101b04,"Evaluación estacional de la fauna ictiológica, malacológica y flora ficológica de la Reserva de la Biósfera El Vizcaino, BCS, Fase I: Laguna Ojo de Liebre",OUT,,,
466ee466-51d5-4bab-99e6-92e534e6877b,https://www.idigbio.org/portal/recordsets/466ee466-51d5-4bab-99e6-92e534e6877b,Contribución al conocimiento de la flora útil de la selva Lacandona,OUT,,,
ab3c6b74-477b-4f79-8711-0643851021f0,https://www.idigbio.org/portal/recordsets/ab3c6b74-477b-4f79-8711-0643851021f0,Florística y biogeografía de algunos bosques mesófilos de la Huasteca Hidalguense: Fase I (Tenango de Doria y Tlanchinol),OUT,,,
1527b668-b797-42be-94d3-0058e1393e94,https://www.idigbio.org/portal/recordsets/1527b668-b797-42be-94d3-0058e1393e94,"Botany Division, Yale Peabody Museum",IN,,,
945d6d7d-c768-4189-be9d-f693104d590c,https://www.idigbio.org/portal/recordsets/945d6d7d-c768-4189-be9d-f693104d590c,Cornell College Herbarium,IN,,,
312cf3f1-2913-4c63-9ba8-0b870cd3c120,https://www.idigbio.org/portal/recordsets/312cf3f1-2913-4c63-9ba8-0b870cd3c120,University of North Carolina at Asheville,IN,,,
14f8f83f-7a0c-458c-b6d5-6da7dc8eaa0a,https://www.idigbio.org/portal/recordsets/14f8f83f-7a0c-458c-b6d5-6da7dc8eaa0a,Morton Arboretum,IN,,,
90e07356-df5d-4372-a2c4-34927db9a3ec,https://www.idigbio.org/portal/recordsets/90e07356-df5d-4372-a2c4-34927db9a3ec,DVPR - Herbário da Universidade Tecnológica Federal do Paraná - Dois Vizinhos,OUT,,,
237d30ca-7675-4840-b4fd-96771fabf518,https://www.idigbio.org/portal/recordsets/237d30ca-7675-4840-b4fd-96771fabf518,Herbier du Québec (QUE) - Collection de plantes vasculaires,OUT,,,
3056112e-97c6-4d0d-b6c2-3c0a9adaca24,https://www.idigbio.org/portal/recordsets/3056112e-97c6-4d0d-b6c2-3c0a9adaca24,Mississippi State University,IN,,,
c6c6ee10-c7ce-41a9-9552-7984654b87ce,https://www.idigbio.org/portal/recordsets/c6c6ee10-c7ce-41a9-9552-7984654b87ce,Filogeografía y recursos genéticos de las vainillas de México,OUT,,,
ba1c8acd-1c39-4544-996d-41c1a0cbad45,https://www.idigbio.org/portal/recordsets/ba1c8acd-1c39-4544-996d-41c1a0cbad45,Diatomeas (Bacillariophyceae) y Dinoflageladas (Dinophyceae) planctónicas más frecuentes en la región sur del Golfo de México,OUT,,,
9576cbeb-8852-44ab-b1c8-6c708f30a7a8,https://www.idigbio.org/portal/recordsets/9576cbeb-8852-44ab-b1c8-6c708f30a7a8,Sistematización de la Colección de Algas Marinas del Centro Interdisciplinario de Ciencias Marinas CICIMAR-IPN,OUT,,,
f1960cd5-e27a-40f0-b4bd-3ca7157e4bbb,https://www.idigbio.org/portal/recordsets/f1960cd5-e27a-40f0-b4bd-3ca7157e4bbb,HUSC - Herbário Unisanta,OUT,,,
844875a9-9927-48a5-90b4-76c5f227f145,https://www.idigbio.org/portal/recordsets/844875a9-9927-48a5-90b4-76c5f227f145,"Vascular Plant Collection, University of Montana Herbarium",IN,,,
e6ccc2bd-9451-4802-8a51-8640d9f09793,https://www.idigbio.org/portal/recordsets/e6ccc2bd-9451-4802-8a51-8640d9f09793,"Vascular Plant Herbarium, Oslo (O)",OUT,,,
6d710d01-54f6-448b-bbf9-adee9e46fc3c,https://www.idigbio.org/portal/recordsets/6d710d01-54f6-448b-bbf9-adee9e46fc3c,Diversidad y riqueza vegetal de los substratos rocosos del centro del estado de Veracruz,OUT,,,
c4306d83-64da-4a45-bcb4-efd743caa2a3,https://www.idigbio.org/portal/recordsets/c4306d83-64da-4a45-bcb4-efd743caa2a3,"Algae, Norwegian College of Fishery Science",OUT,,,
aa977d4a-0dd6-4441-87d4-5efb60435a0b,https://www.idigbio.org/portal/recordsets/aa977d4a-0dd6-4441-87d4-5efb60435a0b,Naturalis Biodiversity Center (NL) - Foraminifera,OUT,,,
f39780bd-7108-4685-8e6a-b340ff5a5965,https://www.idigbio.org/portal/recordsets/f39780bd-7108-4685-8e6a-b340ff5a5965,CPAP - Herbário CPAP,OUT,,,
