datasetKey,name,created,modified
13fdfab7-e281-428d-8c1f-e72eb7398e97,Texas Tech University - Invertebrate Zoology,2020-01-16T13:23:44.558+0000,2020-07-02T22:29:06.052+0000
1f2cfb6f-c91b-498e-80f3-8eeeec688292,"Non-vertebrate Paleontology, Jackson School Museum of Earth History, University of Texas at Austin",2015-03-17T21:31:06.257+0000,2020-09-17T18:16:36.159+0000
815b2469-2686-4abd-8406-27ebe778a684,Duke University Herbarium Bryophyte Collection,2019-03-26T14:20:37.458+0000,2020-09-22T18:30:26.385+0000
5288946d-5fcf-4b53-8fd3-74f4cc6b53fc,CONN,2011-09-08T17:57:38.000+0000,2016-08-18T12:32:37.996+0000
76dd8f0d-2daa-4a69-9fcd-55e04230334a,CM Herps Collection,2013-05-03T19:41:36.000+0000,2017-09-27T16:24:06.012+0000
1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,KUBI Mammalogy Collection,2012-09-24T16:38:46.000+0000,2020-09-30T20:04:45.185+0000
84aa5ee4-f762-11e1-a439-00145eb45e9a,Vascular Plant Collection,2007-04-03T12:40:17.000+0000,2016-08-18T12:32:09.598+0000
44bcde48-ac71-46f2-bf73-24fc3c008b6c,CAS Invertebrate Zoology (IZ),2012-04-26T21:20:57.000+0000,2017-07-11T19:06:13.921+0000
8658262c-f762-11e1-a439-00145eb45e9a,ORN,2007-09-11T10:03:37.000+0000,2016-08-18T12:32:37.996+0000
5378e1cf-522d-4469-8776-b709579b4a3e,Recent Invertebrates Specimens,2014-03-06T22:55:44.504+0000,2020-09-28T15:15:47.618+0000
ba5b0f3a-73dd-459f-a7f1-9abc327aed00,Fishes of Texas Project (FoTX) Database - Darwin Core,2020-02-11T22:06:53.569+0000,2020-09-14T17:30:26.600+0000
ae24fb7b-af3c-478c-a1ed-2215a90793cc,Brigham Young University Arthropod Museum,2018-11-06T15:47:20.969+0000,2020-07-03T05:52:25.044+0000
44fb5823-c1f5-4ac7-8e06-795a09a138f2,Frost Entomological Museum,2018-10-30T20:17:46.390+0000,2020-07-03T05:52:23.008+0000
854cf79e-f762-11e1-a439-00145eb45e9a,"Vertebrate Zoology Division - Ornithology, Yale Peabody Museum",2007-04-03T12:40:17.000+0000,2020-09-28T17:30:02.413+0000
963f12d0-f762-11e1-a439-00145eb45e9a,"Botany Division, Yale Peabody Museum",2009-03-13T13:26:48.000+0000,2020-10-05T04:51:24.220+0000
219cedbf-462b-42e6-957b-c4b6087c452b,Bell Museum lichens,2019-06-17T15:17:21.517+0000,2020-09-15T04:47:00.958+0000
854e35e6-f762-11e1-a439-00145eb45e9a,"Invertebrate Zoology Division, Yale Peabody Museum",2007-04-03T12:40:17.000+0000,2020-09-28T17:28:54.236+0000
377be098-626f-4cc2-b4b5-35700050669a,UAM Mammal Collection (Arctos),2013-04-26T16:37:29.000+0000,2020-10-01T00:39:54.051+0000
c267909d-184f-4138-9e67-a074d478d52b,DAV - UC Davis Herbarium,2019-09-26T12:52:36.743+0000,2020-09-01T14:49:49.569+0000
cc09386c-43a4-4a12-8ae4-d25610645250,University of New Mexico Herbarium,2018-05-08T13:11:54.035+0000,2020-06-17T20:06:22.111+0000
a0a4d131-f53f-43b2-a1ba-254473b8a006,"Marine Invertebrate voucher specimens at the Florida Biodiversity Collection, Florida Fish and Wildlife Conservation Commission",2019-12-18T18:45:47.422+0000,2020-07-06T19:40:43.688+0000
417f4d21-959b-4773-90a2-c38d1822d873,BMSM Bailey-Matthews National Shell Museum,2016-09-21T14:23:45.277+0000,2019-09-23T19:04:56.935+0000
6d2cfc0a-9903-40b8-802b-403398218e4a,"University of Michigan Museum of Zoology, Division of Mammals",2013-04-22T19:12:11.000+0000,2020-09-13T12:35:57.145+0000
6c032b27-e4fe-4bc9-8f11-6b5f864910ce,Cleveland Museum of Natural History,2016-09-16T12:21:00.353+0000,2019-07-17T15:34:29.257+0000
88e38292-f762-11e1-a439-00145eb45e9a,Mosquito Occurrence Dataset,2008-02-19T14:56:41.000+0000,2018-02-28T19:01:07.257+0000
47576eae-c976-4c45-adc2-35d895bb1cbb,University of Hawaii Insect Museum,2020-01-29T12:45:10.304+0000,2020-07-16T15:06:32.552+0000
e1a01804-881b-42ae-8f97-1e80f697fd56,SIO Marine Vertebrate Collection,2017-01-03T20:07:24.771+0000,2019-10-15T04:39:12.359+0000
e635240a-3cb1-4d26-ab87-57d8c7afdfdb,KUBI Ornithology Collection,2012-09-24T16:18:28.000+0000,2020-06-01T18:41:22.855+0000
afc30a94-6107-488a-b9c0-ba9c4fa68b7c,Field Museum of Natural History (Zoology) Fish Collection,2012-07-10T18:57:49.000+0000,2020-05-11T18:20:53.504+0000
8a43c2b7-5976-457d-9f35-a232655efdcc,Field Museum of Natural History (Botany) Bryophyte Collection,2012-07-10T23:16:37.000+0000,2020-04-09T15:57:50.349+0000
750b7bfc-3577-4b26-8aaf-3e4be9f0d639,Arizona State University Hasbrouck Insect Collection,2017-04-05T12:55:03.460+0000,2020-08-10T18:03:16.142+0000
98bceab6-3c3e-4163-945d-6ca10576ebf1,Arizona State University Lichen Herbarium,2019-06-27T15:21:44.942+0000,2020-02-18T05:59:49.256+0000
56e9c560-bd2a-11dd-b15e-b8a03c50a862,LSU Shirley C. Tucker Herbarium at Louisiana State University - Vascular Plants,2010-05-03T22:02:18.000+0000,2018-06-21T20:34:16.961+0000
1953be92-e2b9-4b70-a1e5-893bc8d051f7,KUBI Paleobotany Collection,2018-07-11T15:44:41.339+0000,2020-10-05T14:32:03.697+0000
ec0ad39f-3370-4d51-a663-cb27abd2a6bb,LACM Malacology,2020-04-01T17:30:35.240+0000,2020-04-01T17:31:40.321+0000
6dc35c87-ff97-4708-9e45-6f764ddc1ef3,PollardBase,2018-06-04T15:13:34.790+0000,2019-11-21T17:37:19.134+0000
84797ee6-f762-11e1-a439-00145eb45e9a,Michigan State University Herbarium Lichens,2007-04-03T12:40:17.000+0000,2020-01-27T18:10:39.848+0000
e36d0997-2f51-4718-b684-16ec092ecd82,University of Arizona Insect Collection,2018-10-30T20:37:48.245+0000,2020-07-03T05:52:21.556+0000
854f70cc-55e3-4af2-9417-0f47d6c7902d,TTU Mammals Collection,2014-06-11T18:04:21.641+0000,2017-05-31T18:41:53.053+0000
852628c6-f762-11e1-a439-00145eb45e9a,TNHC Herpetology Collection,2007-04-03T12:40:17.000+0000,2020-07-30T22:00:49.536+0000
e05f6e7d-418e-4407-8e0f-7b8ccf21109e,R. M. Bohart Museum of Entomology,2020-02-04T17:01:57.501+0000,2020-06-11T14:45:32.979+0000
8d88898d-a2c4-4616-a1fe-431b9c06b671,UTA Herpetology,2012-04-27T21:40:58.000+0000,2017-05-31T18:42:52.761+0000
ae33dc82-0bc2-43b5-b69b-65bf858f1e7a,"CHSC - CSU Chico, Chico State Herbarium - Vascular Plants",2019-09-24T18:10:55.492+0000,2020-09-01T14:45:38.085+0000
2e6298fb-d9d7-4915-b69d-890b5aaf91df,The Lepidopterists' Society Season Summary,2019-12-10T22:20:47.494+0000,2019-12-10T22:21:52.276+0000
8728ca0b-4943-4dd0-8161-b9d820f06221,USGS South Florida Fish and Invertebrate Assessment Network Braun Blanquet,2016-06-15T21:43:17.751+0000,2020-06-16T21:20:36.443+0000
83713818-f762-11e1-a439-00145eb45e9a,Herps Specimens,2007-04-03T12:40:17.000+0000,2018-03-06T15:33:19.221+0000
707e1918-0999-4f2f-9ad1-22c0be104861,North Carolina State University Vascular Plant Herbarium,2019-01-31T21:25:23.432+0000,2019-01-31T21:26:32.718+0000
9168f50d-350e-4af1-ba97-17274f1faeaf,MPM Milwaukee Public Museum Herbarium,2016-09-06T23:46:30.057+0000,2019-06-28T22:11:01.266+0000
ebfe41de-79a4-492c-bd72-5c25e41237be,Maui Invasive Species Committee - Pest Surveys - 1996-2011,2020-01-06T18:00:47.063+0000,2020-01-06T18:01:51.853+0000
a92de2e1-647c-43f2-a8b7-ab1c1a6453dd,"University of South Carolina, A. C. Moore Herbarium",2018-06-15T13:29:22.043+0000,2020-09-30T14:13:09.037+0000
2a79f202-3f3a-4d54-88fa-09aa8de1ac73,NCSM Ichthyology Collection,2014-04-17T19:23:19.467+0000,2020-08-24T21:08:16.397+0000
9f747cff-839f-4485-83a1-f10317a92a82,Field Museum of Natural History (Botany) Pteridophyte Collection,2012-07-12T19:40:42.000+0000,2020-05-28T06:40:35.863+0000
a2254f58-8bbf-41e6-ac4e-03d1683e0ce5,MSB Fish Collection (Arctos),2018-02-22T05:16:35.535+0000,2020-10-01T16:16:08.707+0000
552f282a-92a6-4f41-95ef-c6537026fbeb,Denver Museum of Nature & Science - Entomology,2018-01-18T23:54:39.780+0000,2020-07-03T07:47:06.620+0000
813b435e-f762-11e1-a439-00145eb45e9a,Ohio State University Fish Division (OSUM),2011-11-29T09:00:01.000+0000,2018-10-25T13:37:32.149+0000
b89d52a2-861d-4388-adad-c0da3d55fc78,University of Florida Herbarium (FLAS),2017-04-24T13:47:29.632+0000,2020-10-04T22:43:26.297+0000
830fd460-f762-11e1-a439-00145eb45e9a,UWBM Ornithology Collection,2007-04-03T12:40:17.000+0000,2017-05-31T18:42:07.515+0000
c53a27b8-d019-460e-8124-662b6fa14d85,UCMC_Entomology,2015-03-11T15:51:45.392+0000,2018-12-18T18:47:14.381+0000
4f29b6ab-20c0-4479-8795-4915bedcebd1,CAS Ornithology (ORN),2012-04-25T01:20:17.000+0000,2020-09-29T23:02:00.447+0000
84786a2e-f762-11e1-a439-00145eb45e9a,LSUMZ Herps Collection,2007-04-03T12:40:17.000+0000,2017-05-31T18:42:32.543+0000
bb71d4cb-6cc3-4730-a170-82912cc84475,Auburn University Museum of Natural History Entomology,2019-10-23T18:22:10.645+0000,2019-10-23T18:23:14.502+0000
16630817-fd43-49d6-bfff-ae5ffa473724,University of Tennessee Bryophyte Herbarium,2019-02-26T15:06:22.257+0000,2020-08-18T14:26:55.127+0000
f0a7ca6e-8da6-4629-97bd-0368705a4d6b,LACM Invertebrate Paleontology,2018-06-22T14:49:18.794+0000,2020-06-05T00:28:45.229+0000
17d312c2-9ab3-4aca-a383-6af5fb79dca0,Buffalo Society of Natural Sciences Clinton Herbarium,2018-06-26T18:02:46.171+0000,2018-06-26T18:03:56.023+0000
bec73359-a65f-4402-9692-f498ef0e71cb,CU Invertebrate Paleontology,2013-05-17T19:10:24.000+0000,2020-10-02T20:07:21.160+0000
9642d0e6-f762-11e1-a439-00145eb45e9a,"Paleobotany Division, Yale Peabody Museum",2009-03-13T13:26:49.000+0000,2020-10-05T04:49:31.706+0000
e90a588b-0eed-4077-8a4f-7e61da35b3f8,UAIC Ichthyological Collection,2014-07-21T15:51:49.819+0000,2017-06-14T19:11:34.325+0000
85378a64-2fbc-4a48-a6b4-9f421ad48f8a,New Mexico State Collection of Arthropods,2018-11-05T11:31:35.530+0000,2020-07-03T05:52:26.556+0000
