institutionCode,total_idig,has_collectionCode_idig,has_catalogNumber_idig,has_preparations_idig,has_scientificName_idig,has_scientificNameID_idig,has_acceptedNameUsage_idig,has_identificationID_idig,has_locality_idig,has_higherGeography_idig,has_continent_idig,has_countryCode_idig,has_stateProvince_idig,has_county_idig,has_decimalLatitude_idig,has_decimalLongitude_idig,has_coordinates_idig,has_verbatimElevation_idig,has_verbatimDepth_idig,has_image_idig,has_dateIdentified_idig,has_identifiedBy_idig,has_recordedBy_idig,has_eventDate_idig,has_recordNumber_idig,File_idig,total_gbif,has_collectionCode_gbif,has_catalogNumber_gbif,has_preparations_gbif,has_speciesKey,has_scientificName_gbif,has_scientificNameID_gbif,has_acceptedNameUsage_gbif,has_identificationID_gbif,has_locality_gbif,has_higherGeography_gbif,has_continent_gbif,has_countryCode_gbif,has_stateProvince_gbif,has_county_gbif,has_decimalLatitude_gbif,has_decimalLongitude_gbif,has_coordinates_gbif,has_verbatimElevation_gbif,has_verbatimDepth_gbif,has_image_gbif,has_dateIdentified_gbif,has_identifiedBy_gbif,has_recordedBy_gbif,has_eventDate_gbif,has_recordNumber_gbif,File_gbif,month,has_speciesKey_idig,has_speciesKey_gbif
CCSU,1785,1785,1785,0,1785,0,0,0,831,0,1769,1770,1769,1260,0,0,0,0,0,1784,50,1120,1771,1731,1604,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
CDA,24115,24115,24115,0,24115,0,0,0,23900,0,24115,24115,24115,24115,16902,16902,16902,13322,0,0,0,0,24113,24093,20459,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
CHAS,152,152,152,152,152,0,0,0,152,152,152,152,152,152,52,52,52,0,0,33,66,152,152,152,134,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,166,166,166,166,148,166,0,0,0,166,166,162,162,160,159,59,59,59,0,0,33,68,166,166,166,134,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
CHRB,95856,16,95855,0,95856,0,0,0,30554,0,71978,76774,67469,34363,4373,4375,4373,3217,5,78590,8531,9811,41880,37750,31114,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,101011,16,101010,0,92011,101011,0,0,0,31139,0,0,80819,71399,34746,5186,5186,5186,3223,5,83736,6330,10040,47741,40020,31828,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
CHSC,74057,74057,74057,0,74057,0,0,0,73719,0,74057,74057,74057,74057,73217,73217,73217,65633,0,0,0,0,73820,73863,67572,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,102773,102773,102773,0,101461,102773,0,0,0,102333,0,0,102701,102575,99894,85124,85124,85124,66036,4,26594,10471,33774,102461,102195,92422,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
CIC,47517,47517,47273,0,47517,0,47007,0,45563,47008,46764,46992,46768,44446,24810,24810,24810,34286,0,44583,16776,32443,47420,46713,46086,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
CINC,41880,0,41879,0,41880,0,0,0,32488,0,41179,41434,38142,22171,1198,1201,1198,10959,4,41734,13730,17562,36446,33590,34825,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
CLARK-A,7372,7372,7372,0,7372,0,0,0,7033,0,7372,7372,7372,7372,6513,6513,6513,3210,0,0,0,0,7333,7355,4250,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
CLEMS,80989,0,79472,0,80989,0,0,0,45872,0,79871,80001,80604,78878,1448,1448,1448,1092,0,72915,1518,49300,49680,46156,39245,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
CM,498102,498102,498102,13,498095,0,0,0,481674,7,486409,488086,459417,383797,250916,250914,250914,131166,0,109469,5,236262,492424,473071,478764,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,534161,534161,534161,9,516252,534161,0,0,0,516603,7,7,532167,486109,398673,264328,264328,264328,145714,0,114811,5,253773,527305,461035,513651,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
