uuid,name
6135420b-aac1-476e-bda5-e07ba8458662,"Repatriación de datos de los lepidópteros depositados en la Colección del McGuire Center for Lepidoptera and Biodiversity, Florida Museum of Natural History"
b46bfb83-12b3-49f6-b94a-a68a1fd02b4e,"Biodiversidad de la Sierra Tarahumara. Lepidoptera: Mimallonoidea, Lasiocampoidea, Bombycoidea y Pyraloidea"
bedde734-0fa1-49c4-8d97-f3b3e9bfb9ab,Flora del Valle de Tehuacán-Cuicatlán: II Fase
055a7f42-988e-4984-891d-9fac55be7515,Macroalgas marinas de Baja California Sur Parte I: Bahía de la Paz y Bahía de la Ventana
383d5325-b1ae-4739-b5ff-8afc4e30a0db,"Abejas silvestres (Hymenoptera: Apoidea) de la región Praderas de Tokio-El Potosí - Sierra Mazmorras - Cañón de Iturbide, Coahuila y Nuevo León, México"
ef6fc567-7054-474f-bf4c-71321468572a,"Ecología de comunidades microbianas en las aguas subterráneas de Cuatrociénegas, Coahuila"
2d86bdb0-a563-4a35-b990-469e9e896712,Palaeobiology - Vertebrate Comparative Osteology Collection - Royal Ontario Museum
8f62e9b0-96e5-4d64-8008-b2b8692050db,Naturalis Biodiversity Center (NL) - Brachiopoda
0a0e4054-0568-4352-9ef1-baa72d577ee5,Pseudoscorpiones Collection - Instituto Nacional de Pesquisas da Amazônia (INPA)
cb790bee-26da-40ed-94e0-d179618f9bd4,AMNH Mammal Collections
92e4e092-6dcb-46bc-85a0-dea8310aba45,Troy Herbarium Specimens from Morphbank
c359c2e5-cd20-4057-9179-35a7a5b5da72,University of Hawaii at Manoa
7e1daeee-a87b-46ad-a66f-268868c992c5,Herbarium specimens of Jardins botaniques and Conservatoire		Botanique of Nancy (NCY)
80dcaaae-9e3c-4000-b8bf-e1e29a5da9a4,Collection botanique Mulon L. (BOUM)
fb97dfb4-72be-4dc1-9f5a-2faea75341b4,University of Richmond Herbarium
fb4cc282-eba5-4156-b7c7-df41e0581b68,"University of South Carolina, A. C. Moore Herbarium"
2941b767-e90b-41b9-9627-6e589e0c0c85,"Northern Kentucky University, John W. Thieret Herbarium"
bbf5f8ed-f33f-40ba-9d0d-1c24dfec4193,"University of Nebraska State Museum, C.E. Bessey Herbarium"
67893f3c-c409-41c6-a8f2-47956739a911,Huntington University Herbarium
e8a10a16-86af-42b2-be40-9d6a1b21859a,CHAS Malacology Collection (Arctos)
f9a33279-d6ba-41c7-a511-ef6adfcb6e20,University of Florida Vertebrate Paleontology
6075f4b7-4242-4886-be7d-391614fffe41,Clemson University Arthropod Collection
a47eacbb-22d0-4a8b-8853-989b26fd8290,"University of Michigan Museum of Zoology, Division of Insects"
4f436daa-01d5-4be6-b5c3-fdd255677536,Virginia Polytechnic Institute and State University Insect Collection
71e55d91-4c0c-4a13-9421-c732348b0a47,UNM Earth Sciences Collection (Arctos)
05498053-5a06-45d5-bf6c-dbea1c42cb2b,EAC - Herbário Prisco Bezerra
3c367a2d-eec0-4ef1-b3bc-4cbebb320c5a,"Vascular Plant Collection, University of Alaska, Anchorage Herbarium"
8456dc3d-99e2-407c-ab55-4746d382496b,"Lichen herbarium TRH, NTNU University Museum"
bd7cfd55-bf55-46fc-878d-e6e11f574ccd,University of Florida Herpetology
9a861ebe-f8d7-4eb1-a2c8-3006f07cfec2,Wilton Garden Club Herbarium
af60ac71-fbfb-4648-95fb-0eb5fe24765b,Botanical Research Institute of Texas
710a8a54-783c-41aa-ad9a-05544cdb4c55,"Royal Botanic Gardens, Kew - Herbarium Specimens"
5975bbda-cd92-4084-8a09-ce1e28e6164f,"Plants, herbivores, and parasitoids: A model system for the study of tri-trophic associations project"
4c003df0-f59b-460d-886a-31088b34141d,"Actualización de la base de datos de la colección mastozoológica de El Colegio de la Frontera Sur, San Cristóbal de las Casas"
c1cd61c1-9414-4c51-bc16-7f7c24972cde,"La Colección Herpetológica de la Estación de Biología Tropical Los Tuxtlas, Veracruz"
1fc07b28-43f5-49d1-badf-63005e1c3e9a,Texas Lutheran University Herbarium
ac8c109d-b69c-4359-87f4-8714f8c8a65d,St. Ambrose University
f0174bc9-0cca-450e-a941-655d80040139,Illinois Natural History Survey
aa53dc91-0cf2-4714-a6e0-f00f9139dcd8,Southwestern Regional Forest Service Herbarium
