institutionCode,total,has_collectionCode,has_catalogNumber,has_preparations,has_speciesKey,has_scientificName,has_scientificNameID,has_acceptedNameUsage,has_identificationID,has_locality,has_higherGeography,has_continent,has_countryCode,has_stateProvince,has_county,has_decimalLatitude,has_decimalLongitude,has_coordinates,has_verbatimElevation,has_verbatimDepth,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_recordNumber
"C.A. Triplehorn Insect Collection, Ohio State University, Columbus, OH (OSUC)",1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0
USNM,36063,36063,36062,3958,17963,36063,0,0,0,4,11591,14,11572,11094,2286,0,0,0,0,0,126,0,9856,5043,3940,145
BPBM,421066,421066,421066,4,362822,421066,0,0,0,413793,311397,28850,412423,279434,2687,83855,83855,83855,199968,20464,0,174672,272271,417353,384996,396391
BRFC,623,623,623,0,612,623,0,0,0,623,0,623,623,623,623,431,431,431,0,0,0,0,0,623,623,0
USF,228131,228131,228131,0,223444,228131,0,0,228131,217018,227917,0,227885,222368,191992,37132,37132,37132,36741,0,228131,64729,109181,228041,226352,227483
University of Rochester,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0
USU-UTC,25,25,25,0,10,25,0,0,0,25,0,0,25,25,25,25,25,25,0,0,25,25,25,25,25,25
NY,4029920,4029920,4029920,3993701,3831789,4029920,0,0,0,2568689,0,2831863,2827028,2493597,1593498,1577188,1577188,1577188,1053373,0,3119257,636437,849371,2845861,2645564,2748256
KU,403991,403991,403983,75834,331762,403991,0,0,0,395990,395579,395553,387873,373461,344264,301815,301815,301815,100814,0,95553,0,256772,381653,334247,0
UTKH,481,481,481,0,438,481,0,0,0,480,0,0,0,440,419,0,0,0,0,0,0,0,0,478,0,0
MIN,560702,560702,558835,136358,545351,560702,0,0,0,401667,0,0,482661,462428,385689,282679,282679,282679,13425,2,328536,20175,34767,470986,394747,459186
NCSC,106360,40371,106326,1344,103376,106360,0,0,0,40661,0,0,104913,103487,89789,3788,3788,3788,8224,0,99179,2457,719,44122,39184,41311
FTG,78186,78186,78186,0,72996,78186,0,0,0,27941,0,76617,77640,60719,44155,10612,10612,10612,0,0,0,0,0,70184,76529,0
BABY,11427,11427,11427,0,11375,11427,0,11382,0,11381,0,11425,11425,11424,2157,11368,11368,11368,10010,0,0,7003,11356,11427,11374,11426
ANSP,3,3,3,0,1,3,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
COLO,343782,343782,343782,0,335559,343782,0,0,0,234331,0,0,342832,336154,263337,126027,126027,126027,141298,2,337668,70449,100708,287101,230316,260738
SDSU,22962,150,22932,0,22532,22962,0,0,0,22098,0,0,22904,22555,21395,19085,19085,19085,13922,0,22591,8395,12943,22945,22355,17974
