institutionCode,total,has_collectionCode,has_catalogNumber,has_scientificName,has_acceptedNameUsage,has_locality,has_countryCode,has_coordinates,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate
ufrgs,150082,150082,150082,148126,0,127177,17775,27084,0,60733,124433,150061,0
wtu,360214,360214,350457,360214,324826,353934,356425,262246,119947,119538,183811,360129,354277
ala,78961,0,78961,78961,0,34366,77622,33305,44733,76716,77836,78960,78857
ufpb,58160,58160,58160,51852,0,43214,294,36823,0,24753,26107,58159,0
wgc,4999,0,4999,4999,0,4975,4988,0,4972,0,0,4999,4948
no disponible,4355,4355,4355,4355,3498,4349,4314,4122,0,0,4315,4315,4144
ie-unam,1175,1175,1175,1175,577,1175,1175,1175,0,0,1175,1175,1172
cas,818595,778152,818595,818594,0,782404,781491,243355,56143,155638,164454,817811,808480
utep,82315,82315,82315,82315,0,82315,82287,32673,282,67404,82315,82313,82315
lcdi,1395,0,1284,1395,0,1191,1395,438,0,120,261,1394,1386
itvo,48,48,48,48,48,48,48,48,0,0,48,48,48
uami,37334,37334,37334,37334,36956,37334,37334,37328,0,0,37334,37334,37327
ufs,9569,9569,9569,9566,0,9569,0,6029,0,6211,9569,9568,0
"sel, mo",1,0,1,1,0,0,1,0,0,1,1,1,0
nsw,621830,621830,621830,621830,39,606399,620356,541807,0,321244,344288,620113,598933
ph,484503,0,484503,484503,0,171931,482534,28010,446709,16169,29362,180140,169870
ecosur,32379,32379,32379,32379,28751,32379,31720,31617,0,0,32379,32379,32222
ames,16638,16638,16638,16638,0,13999,15517,612,8504,6815,2491,15750,13395
circe-cebaj-inifap,7558,7558,7558,7558,7097,7558,7558,6369,0,0,7558,7558,4686
unitins,7656,7656,7656,7215,0,7210,0,6509,0,3058,3127,7656,0
dictus-uson,11718,11718,11718,11718,11555,11718,11718,11581,0,0,11718,11718,11700
bdwr,2524,0,2524,2524,0,0,2439,0,0,0,0,0,0
universidade federal de minas gerais,148230,148230,148230,143320,0,117252,987,60869,0,54280,20712,130816,0
emc,9434,0,8835,9434,0,8603,9215,2057,8543,1117,3230,9096,8643
