or_institutionCode,total,has_collectionCode,has_catalogNumber,has_preparations,has_scientificName,has_scientificNameID,has_acceptedNameUsage,has_identificationID,has_locality,has_higherGeography,has_continent,has_countryCode,has_stateProvince,has_county,has_decimalLatitude,has_decimalLongitude,has_coordinates,has_verbatimElevation,has_verbatimDepth,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_recordNumber
CalBG,542859,542859,160957,542777,542859,0,0,0,538874,0,542741,542859,542231,519806,154114,154111,154108,0,0,87163,0,0,542786,533515,538781
EPHR,1746,0,1745,0,1746,0,0,0,1697,0,1727,1735,1728,1686,9,9,9,403,0,0,40,44,1743,1694,1334
AVCH,2730,0,2730,0,2730,0,0,0,0,0,2727,2728,2730,2019,0,0,0,0,0,2165,17,17,0,0,0
BING,19758,0,19758,0,19758,0,0,0,11033,0,11794,11841,11090,7631,5082,5081,5081,4142,0,18925,7846,10283,11347,10951,11092
MSUNH,1384,0,1303,0,1384,0,0,0,1283,0,1281,1331,1286,1070,31,31,31,3,0,0,478,646,1342,1342,473
HBSH,2921,0,2921,0,2921,0,0,0,611,0,2914,2915,2915,2895,307,307,307,141,0,2690,682,682,703,612,616
NPS,2021,2021,2021,0,2021,0,0,0,1999,0,2020,2020,2020,2019,1992,1992,1992,0,0,0,37,37,2021,1989,1999
NAVA,13547,0,13313,0,13547,0,0,0,3264,0,13538,13545,13538,13537,3104,3104,3104,2541,0,2791,1117,2547,13533,3254,3021
BRY,43699,10,43699,0,43699,0,0,0,43343,0,43140,43303,43304,39224,29433,29433,29433,34458,0,39060,4,37546,43537,43432,39885
MISS,79446,0,76426,0,79446,0,0,0,78273,0,79343,79413,79249,78914,24134,24129,24128,98,0,75598,3431,3821,79434,77741,78574
FHKSC,552,0,0,0,552,0,0,0,140,0,177,184,178,158,1,1,1,0,0,0,95,133,243,171,0
VPI,64917,1,63192,758,64797,0,0,0,10969,0,64343,64344,64351,27114,3269,3269,3231,973,0,57074,355,5467,11605,10855,8986
DMNS,12,12,12,12,12,0,0,0,12,12,12,12,9,8,9,9,9,0,0,0,11,12,12,12,0
USMS,18293,0,17668,0,18293,0,0,0,17160,0,17978,17978,17977,16482,10297,10296,10296,254,0,16429,899,1245,16066,15076,15015
US,3334413,3334413,3050662,24849,3334412,0,0,0,3075399,3329522,3306845,3258612,2619783,448508,548438,548438,548432,21379,16052,2562382,0,462807,3322096,0,3309983
SOC,18452,18452,18452,0,18452,0,18334,0,17847,18452,18414,18432,18447,18393,1407,1407,1407,10401,0,16855,9340,17909,18452,18334,18452
NCSLG,4773,0,0,0,4766,0,0,0,4710,0,4703,4703,4701,4692,618,618,617,0,0,0,0,4743,4717,4767,0
CMC,22276,1815,22275,0,22276,0,0,0,20730,0,21338,21737,21281,20103,5723,5723,5723,694,0,20016,10603,10953,20767,20055,20261
UD,62,62,62,0,62,0,0,0,31,0,62,62,62,62,62,62,62,0,0,0,62,62,55,62,0
MESA,6522,0,6463,0,6504,0,0,0,6253,0,6516,6520,6518,6262,5047,5047,5047,4063,0,5993,37,204,6460,6019,6350
Yale Peabody Museum of Natural History,82636,82636,82636,0,82636,0,0,0,25914,0,81496,81950,81447,66064,33675,33674,33674,6,0,73643,668,670,80922,65886,24158
MWI,42367,0,42367,0,42367,0,0,0,40152,0,42077,42092,40783,40184,3987,3986,3986,3374,0,0,42344,42364,42366,41946,35490
PSM,11848,11848,11848,0,11848,0,11675,0,11533,11848,11710,11717,11712,11113,10232,10232,10232,959,0,11518,2,2,11651,11755,11774
NHI,9087,0,9000,0,9087,0,0,0,6513,0,6872,6872,6871,6724,3918,3918,3918,8366,1,8948,3515,3709,6900,8857,3060
ENLC,6070,3,5700,0,6070,0,0,0,5939,0,6070,6070,6070,5946,5768,5768,5768,4528,0,314,3691,4967,6069,5968,5383
WET,4425,0,0,0,4425,0,0,0,3152,0,4279,4295,4279,4233,3120,3120,3120,152,0,0,24,32,4227,4203,867
BHSC,17115,17115,17115,0,17115,0,0,0,17054,0,17114,17115,17115,17115,9669,9668,9668,10211,0,17008,3772,4181,17115,17054,17053
WWB,4962,0,4962,0,4962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFSU,34336,0,34318,0,34336,0,0,0,26138,0,27101,27120,26910,21419,21786,21786,21786,981,0,33545,1116,26209,34269,33219,33673
Westfield State University,11031,11031,11031,0,11031,0,0,0,0,0,10984,10984,10984,11004,0,0,0,0,0,10516,0,0,11020,10929,0
WGC,5002,0,5002,0,5002,0,0,0,4966,0,4990,4991,4990,4988,0,0,0,0,0,4963,0,0,5002,4939,0
UNM,126369,126369,119496,122365,126369,0,0,0,122437,3,125632,125865,126241,126059,74734,74750,74730,76999,0,115096,32994,45330,126195,121650,122336
MACF,247,247,247,0,247,0,0,0,246,0,247,247,247,247,101,101,101,156,0,0,0,0,247,247,213
WFU,156,0,125,58,156,0,0,0,151,0,155,155,155,154,150,150,150,148,0,122,2,151,156,152,152
AASU,5061,0,5061,5061,5061,0,0,0,5008,0,5056,5056,5056,5023,4,4,4,0,0,5013,0,0,5008,4969,5013
ECON,5244,5244,5244,5244,5244,0,0,0,5116,5239,5239,5196,4965,3086,47,47,47,453,0,4587,446,220,5198,3795,1923
JEPS,109684,109684,109684,0,109684,0,0,0,109173,0,109684,109684,109684,109684,90935,90935,90934,71065,0,0,0,0,109671,108813,97307
DAV,111498,109549,111498,0,111498,0,0,0,111384,0,110541,110861,110453,101763,28764,28752,28724,4026,0,1948,93,47536,110906,1780,109637
NMSU,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0
CM,499117,499117,499117,13,499110,0,0,0,482629,7,487861,489540,460358,384651,255395,255393,255393,131755,0,115883,5,237128,493432,474019,479722
CIC,47948,47948,47704,0,47948,0,47410,0,45966,47441,47197,47425,47201,44879,25335,25335,25335,34707,0,44946,17119,32751,47852,47145,46529
WVA,12153,0,12153,0,12153,0,0,0,958,0,11721,11749,11701,1067,13,13,13,14,0,12152,12,15,4559,1404,454
UCLA,690,690,690,0,690,0,0,0,654,0,690,690,690,690,492,492,492,159,0,0,0,0,690,653,323
NHA,85208,0,85208,0,85208,0,0,0,85102,0,84104,85064,84055,76391,85087,85087,85087,12467,34,84706,3233,3488,85095,82882,1851
A,179102,179102,179102,179045,179102,0,0,0,161777,173265,173265,169999,156611,89057,19479,19376,19369,15982,0,108861,23835,9408,178213,124956,124135
