or_institutionCode,uniqueToiDigBio
CICY,69707
UEPA,8583
WNC,6651
WSTC,1262
VTST,245
SDEI,19
NHM,11
MMNS,63415
SJSU,10115
UWEC,1680
CHND,1
Connecituct College,13641
IEA-UAT,3988
Keene State University,12022
CUCEI-UDG,16
ISEAK,1
JFBM,75343
MMNH,67640
GMV,1
INHSm,2
CSIRO,232870
CSULB,12217
ECUH,5417
"Instituto Federal de Educação, Ciência e Tecnologia",11935
MOT,2829
MPM,28808
BSNS,3070
CONN,4085
FUNED,4858
ISUI,392
RM,6179
WOLL,11092
OEE,129
SIZ,5
SAM,258162
SDNHM,126117
SQB,3235
UPS,905957
SIO,123303
MACN,404
BHO,4932
NHMUK,2946917
VDB,220287
IEGG,3
INIFAP-CECOY,2181
LINF,4380
RWMNH,15164
UHM,2401
HSC,74770
UFOP,27947
UNCC,9601
BLM,3948
MSUB,13469
RSABG,34
NULL,1
EWU,8173
MUHW,41956
NMV,822081
PASA,2394
QSBG,112
SMNH,47
CC-OBE,56
MONTU,75788
"Universidade Federal da Paraíba, UFPB",7056
Université de Montréal,50944
VVC,2515
MCZC,9
Isopoda,2
GMUF,36507
LSUM,808
MNHN,7274341
UT,133326
Universidade Federal do Pará,10183
University of Maine,44902
JNRC (Jacques Rifkind),4
CBG,68
CORT,5345
FC-UABC,2403
NSW,721059
PGC,24
NMSA,6
LUND,1
QVMAG,83139
UESC,16517
UFPE,59975
VALE,6152
ZMUC,127198
CEPLAC,2520
MIL,3240
FPRL-BRE,58
QPIM,1
STRI,1
