institutionCode,total,has_collectionCode,has_catalogNumber,has_preparations,has_scientificName,has_scientificNameID,has_acceptedNameUsage,has_identificationID,has_locality,has_higherGeography,has_continent,has_countryCode,has_stateProvince,has_county,has_decimalLatitude,has_decimalLongitude,has_coordinates,has_verbatimElevation,has_verbatimDepth,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_recordNumber
LSU,168634,168634,168634,1837,168634,0,0,0,159481,0,167285,168554,159061,152391,57558,57558,57558,5192,0,154322,61137,65580,168610,165116,167713
LSUM,14555,14555,14555,0,14555,0,0,0,14209,0,14248,14336,11488,5167,13766,13766,13766,565,0,14467,456,5491,14398,14338,14326
MACF,247,247,247,0,247,0,0,0,246,0,247,247,247,247,101,101,101,156,0,0,0,0,247,247,213
MAINE,13106,972,13106,0,13106,0,0,0,12514,0,13061,13103,13040,9427,9705,9705,9705,2543,0,65,4847,10955,12913,12129,11348
MAINE,44772,44772,44772,0,44772,0,0,0,28285,0,44729,44729,44730,42775,30048,30048,30048,7,0,37513,7590,9414,43634,39426,28299
MARY,57318,0,53191,0,57318,0,0,0,48262,0,57006,57205,56563,53131,43981,43981,43981,5430,17,47119,726,794,51301,47854,49117
MASS,8723,0,8723,0,8723,0,0,0,8723,0,8505,8564,6569,2555,8558,8558,8558,134,0,8723,23,28,8712,7624,157
MASS,93292,93292,93292,93273,93292,0,0,0,90272,0,91780,91878,91792,90446,77734,77787,77734,0,0,86888,0,0,92001,86389,0
MBM,302860,302860,302860,0,295418,0,0,0,251582,0,298315,297156,245744,0,34371,34364,34357,0,0,0,62036,249956,302858,0,302856
MCA,51328,0,51328,0,51328,0,0,0,50372,0,51323,51323,51320,51023,50062,50062,50062,54,0,50488,5,5,51327,50399,50486
MCTC,13798,0,13798,0,13798,0,0,0,13086,0,13086,13101,11807,10096,6659,6658,6658,1664,0,13797,35,175,13677,13187,13657
MCZ,3344,3344,3344,3074,3344,0,0,0,2507,2503,2094,2346,1277,738,1920,1920,1918,0,0,0,293,3344,3344,515,0
MDKY,10278,0,10278,0,10278,0,0,0,0,0,10275,10275,10275,10266,0,0,0,0,0,9337,0,0,0,0,0
MEM,13570,0,13569,0,13570,0,0,0,19,0,13499,13566,13482,13433,10,10,10,0,0,0,112,112,13570,13189,13215
MESA,3136,0,3135,0,3136,0,0,0,2961,0,3133,3133,3133,3055,2702,2702,2702,1339,0,574,22,56,3109,2887,3033
MICH,706343,1,705841,10211,706343,0,0,0,586805,0,627391,639954,584579,396424,191745,191636,191631,50762,1,614301,33732,131178,667069,585632,630104
MIL,3155,0,3155,0,3155,0,0,0,2806,0,2978,3035,2948,2065,533,533,533,495,0,0,380,2064,3151,3129,2343
MIN,559294,559294,557460,136358,559294,0,0,0,400745,0,476915,480801,461211,385303,281669,281405,281400,13330,2,325285,30249,34747,469673,418400,457738
miss,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1
MISS,79038,0,76120,0,79038,0,0,0,77620,0,78938,79008,78847,78511,23741,23735,23734,95,0,75066,3358,3740,79026,77106,77925
MISSA,28369,29,26732,0,28369,0,0,0,23093,0,27565,27863,27424,24678,19394,19396,19394,491,0,26337,865,932,25591,23647,17854
MNA,36637,18,36346,0,36637,0,0,0,35775,0,36048,36560,36035,35334,21570,21570,21570,23931,0,3714,11889,28965,36150,30086,24559
MO,4734594,4734594,4734594,0,4734594,0,0,0,4485566,0,4704151,4584813,4392157,2402281,3159262,3159238,3159210,0,0,327874,2565015,2957156,4734568,1,4734591
MOAR,25962,0,25098,6,25962,0,0,0,21247,0,22992,23000,23202,22655,20959,20959,20959,327,0,23307,70,157,23107,21389,21107
MONT,53266,44770,53222,0,53266,0,44112,0,52301,44510,52938,53003,52919,51298,40100,40100,40096,21252,0,52583,24115,27677,53069,51425,52841
MONTU,65848,64496,65840,0,65848,0,64196,0,63507,64468,65776,65799,65778,64962,64588,64588,64588,42715,0,57417,57029,57492,65756,65238,65780
MOR,103505,85840,103505,0,103505,0,0,0,95341,0,103303,103346,103093,101546,18063,18063,18063,615,0,58292,3089,16943,103064,101046,101339
MOT,2488,0,2488,0,2488,0,0,0,2488,0,2344,2484,2418,2051,2487,2487,2487,23,0,2488,1,4,2482,2428,0
MOVC,2572,0,0,0,2572,0,0,0,2495,0,2572,2572,2572,2419,2445,2445,2445,0,0,0,2,2,2369,2500,2029
